,GSE111586_gene_cluster_Inhibitory neurons,GSE111586_gene_cluster_Ex. neurons CThPN,GSE111586_gene_cluster_Ex. neurons SCPN,GSE111586_gene_cluster_Ex. neurons CPN,GSE111586_gene_cluster_SOM+ Interneurons,GSE111586_gene_cluster_Purkinje cells,GSE111586_gene_cluster_Cerebellar granule cells,GSE111586_gene_cluster_Oligodendrocytes,GSE111586_gene_cluster_Astrocytes,GSE111586_gene_cluster_Endothelial I cells,GSE111586_gene_cluster_Endothelial II cells,GSE111586_gene_cluster_Microglia
SM_EX_L5.ET,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.010101010101010102,0.005025125628140704,0.005025125628140704,0.010101010101010102,0.010101010101010102,0.0,0.0,0.0,0.0
SM_EX_L5.6.NP,0.015228426395939087,0.0,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.0,0.005025125628140704,0.005025125628140704,0.0,0.0,0.0
SM_EX_L5.IT,0.02040816326530612,0.005025125628140704,0.0,0.0,0.0,0.005025125628140704,0.0,0.0,0.005025125628140704,0.0,0.0,0.0
SM_IN_Pvalb,0.005025125628140704,0.005025125628140704,0.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.005025125628140704,0.005025125628140704
SM_IN_Sncg,0.0,0.0,0.0,0.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SM_IN_Sst,0.0,0.0,0.005025125628140704,0.0,0.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0
SM_EX_L6.IT.Car3,0.010101010101010102,0.005025125628140704,0.010101010101010102,0.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SM_EX_L2.3.IT,0.005025125628140704,0.005025125628140704,0.010101010101010102,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SM_EX_L6.CT,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SM_IN_Vip,0.005025125628140704,0.0,0.005025125628140704,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SM_EX_L6b,0.005025125628140704,0.010101010101010102,0.010101010101010102,0.005025125628140704,0.005025125628140704,0.0,0.0,0.0,0.010101010101010102,0.005025125628140704,0.0,0.0
SM_IN_Lamp5,0.0,0.015228426395939087,0.015228426395939087,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005025125628140704
