,GSE1303990_gene_cluster_1,GSE1303990_gene_cluster_8,GSE1303990_gene_cluster_3,GSE1303990_gene_cluster_5,GSE1303990_gene_cluster_2,GSE1303990_gene_cluster_7,GSE1303990_gene_cluster_9,GSE1303990_gene_cluster_4,GSE1303990_gene_cluster_6
SM_IN_Vip,0.02564102564102564,0.0,0.0,0.0,0.005025125628140704,0.005025125628140704,0.0,0.005025125628140704,0.0
SM_EX_L2.3.IT,0.005025125628140704,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.0
SM_IN_Lamp5,0.005025125628140704,0.005025125628140704,0.010101010101010102,0.010101010101010102,0.0,0.0,0.0,0.005025125628140704,0.0
SM_EX_L5.6.NP,0.010101010101010102,0.010101010101010102,0.005025125628140704,0.0,0.0,0.005025125628140704,0.0,0.0,0.0
SM_EX_L5.ET,0.010101010101010102,0.015228426395939087,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0
SM_IN_Sncg,0.010101010101010102,0.0,0.0,0.0,0.010101010101010102,0.0,0.0,0.0,0.0
SM_EX_L6.CT,0.005025125628140704,0.005025125628140704,0.0,0.0,0.005025125628140704,0.010101010101010102,0.0,0.0,0.0
SM_IN_Pvalb,0.005025125628140704,0.0,0.005025125628140704,0.0,0.005025125628140704,0.0,0.0,0.0,0.0
SM_IN_Sst,0.0,0.0,0.005025125628140704,0.0,0.005025125628140704,0.0,0.005025125628140704,0.0,0.0
SM_EX_L5.IT,0.005025125628140704,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SM_EX_L6.IT.Car3,0.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.005025125628140704,0.0,0.0
SM_EX_L6b,0.0,0.005025125628140704,0.0,0.0,0.005025125628140704,0.0,0.005025125628140704,0.0,0.0
