chr	start	end	strand	symbol	id
15	60896859	60923012	-	A1bg	ENSMUSG00000022347
19	31868764	31948995	+	A1cf	ENSMUSG00000052595
7	62778423	62823673	-	A26c2	ENSMUSG00000109344
6	121635376	121679227	+	A2m	ENSMUSG00000030111
6	128539821	128581608	-	A2ml1	ENSMUSG00000047228
4	128755364	128769298	+	A3galt2	ENSMUSG00000028794
15	83226722	83251774	-	A4galt	ENSMUSG00000047878
9	99612502	99622367	+	A4gnt	ENSMUSG00000037953
8	47675391	47685239	+	AA386476	ENSMUSG00000074357
2	152074855	152076808	-	AA387200	ENSMUSG00000085946
11	4918510	4919003	+	AA413626	ENSMUSG00000084381
X	12936872	12938128	+	AA414768	ENSMUSG00000083307
13	68181294	68182869	+	AA414992	ENSMUSG00000113342
11	83291699	83294632	+	AA465934	ENSMUSG00000093483
2	122636986	122641191	+	AA467197	ENSMUSG00000033213
7	110057987	110061325	-	AA474408	ENSMUSG00000073867
2	25327450	25332571	-	AA543186	ENSMUSG00000097345
9	107192793	107194061	+	AA543401	ENSMUSG00000092125
6	10971560	10979638	-	AA545190	ENSMUSG00000107948
1	34635544	34636189	-	AA619741	ENSMUSG00000104098
11	94812619	94813348	-	AA623943	ENSMUSG00000081478
2	27326704	27331297	+	AA645442	ENSMUSG00000086669
8	85339343	85340272	+	AA672651	ENSMUSG00000084895
5	94339749	94385079	+	AA792892	ENSMUSG00000073497
16	17922043	17923208	+	AA914427	ENSMUSG00000103149
1	130731976	130744622	+	AA986860	ENSMUSG00000042510
15	102338252	102350771	-	Aaas	ENSMUSG00000036678
5	125475814	125517410	+	Aacs	ENSMUSG00000029482
3	60025717	60040160	+	Aadac	ENSMUSG00000027761
3	60006743	60025420	+	Aadacl2	ENSMUSG00000091376
4	144453771	144463756	-	Aadacl3	ENSMUSG00000078507
4	144613707	144623398	+	Aadacl4	ENSMUSG00000070609
8	60505932	60545677	+	Aadat	ENSMUSG00000057228
13	64275280	64312710	-	Aaed1	ENSMUSG00000021482
9	63602660	63644588	+	Aagab	ENSMUSG00000037257
6	86849517	87003223	+	Aak1	ENSMUSG00000057230
7	97550331	97579497	-	Aamdc	ENSMUSG00000035642
1	74279840	74284738	-	Aamp	ENSMUSG00000006299
11	116586432	116597680	+	Aanat	ENSMUSG00000020804
2	156547584	156568972	+	Aar2	ENSMUSG00000027628
15	52040107	52045722	+	Aard	ENSMUSG00000068522
17	45506841	45520843	+	Aars2	ENSMUSG00000023938
11	101406839	101417615	-	Aarsd1	ENSMUSG00000075528
8	111033144	111057664	+	Aars	ENSMUSG00000031960
5	76873659	76905514	-	Aasdh	ENSMUSG00000055923
9	4294793	4309471	-	Aasdhppt	ENSMUSG00000025894
6	23072173	23132986	-	Aass	ENSMUSG00000029695
11	84422855	84513522	-	Aatf	ENSMUSG00000018697
11	120007313	120047167	-	Aatk	ENSMUSG00000025375
4	138395198	138397714	+	AB041806	ENSMUSG00000046109
9	21526176	21545333	+	AB124611	ENSMUSG00000057191
16	8513429	8621568	+	Abat	ENSMUSG00000057880
1	71242276	71414910	-	Abca12	ENSMUSG00000050296
11	9191942	9684259	+	Abca13	ENSMUSG00000004668
7	120203961	120325352	+	Abca14	ENSMUSG00000062017
7	120328670	120407687	+	Abca15	ENSMUSG00000054746
7	120409647	120544813	+	Abca16	ENSMUSG00000051900
17	24264259	24351068	-	Abca17	ENSMUSG00000035435
4	53030787	53159895	-	Abca1	ENSMUSG00000015243
2	25428703	25448540	+	Abca2	ENSMUSG00000026944
17	24351950	24410201	+	Abca3	ENSMUSG00000024130
3	122044443	122180123	+	Abca4	ENSMUSG00000028125
11	110269369	110337716	-	Abca5	ENSMUSG00000018800
11	110176820	110251776	-	Abca6	ENSMUSG00000044749
10	79996494	80015572	+	Abca7	ENSMUSG00000035722
11	110025634	110095978	-	Abca8a	ENSMUSG00000041828
11	109932190	109995845	-	Abca8b	ENSMUSG00000020620
11	110100749	110168196	-	Abca9	ENSMUSG00000041797
8	123952459	123983122	-	Abcb10	ENSMUSG00000031974
2	69238282	69342616	-	Abcb11	ENSMUSG00000027048
5	8660077	8748575	+	Abcb1a	ENSMUSG00000040584
5	8798147	8866315	+	Abcb1b	ENSMUSG00000028970
5	8893717	8959231	+	Abcb4	ENSMUSG00000042476
12	118867824	118966421	-	Abcb5	ENSMUSG00000072791
1	75171717	75180392	-	Abcb6	ENSMUSG00000026198
X	104280657	104413856	-	Abcb7	ENSMUSG00000031333
5	24393663	24410054	+	Abcb8	ENSMUSG00000028973
5	124061530	124095798	-	Abcb9	ENSMUSG00000029408
17	46303221	46328352	-	Abcc10	ENSMUSG00000032842
8	86482260	86580686	-	Abcc12	ENSMUSG00000036872
16	14361558	14475737	+	Abcc1	ENSMUSG00000023088
19	43782192	43840740	+	Abcc2	ENSMUSG00000025194
11	94343295	94392997	-	Abcc3	ENSMUSG00000020865
14	118482692	118706219	-	Abcc4	ENSMUSG00000032849
16	20331303	20426394	-	Abcc5	ENSMUSG00000022822
7	45967555	46030302	-	Abcc6	ENSMUSG00000030834
7	46104523	46180033	-	Abcc8	ENSMUSG00000040136
6	142587862	142702315	-	Abcc9	ENSMUSG00000030249
X	73716597	73738534	+	Abcd1	ENSMUSG00000031378
15	91145871	91191799	-	Abcd2	ENSMUSG00000055782
3	121758774	121815302	-	Abcd3	ENSMUSG00000028127
12	84601464	84617413	-	Abcd4	ENSMUSG00000021240
8	79683462	79711740	-	Abce1	ENSMUSG00000058355
17	35956819	35969761	-	Abcf1	ENSMUSG00000038762
5	24565345	24577467	-	Abcf2	ENSMUSG00000028953
16	20548577	20561379	+	Abcf3	ENSMUSG00000003234
17	31057675	31117988	+	Abcg1	ENSMUSG00000024030
6	58584523	58695676	+	Abcg2	ENSMUSG00000029802
5	104935057	104982718	-	Abcg3	ENSMUSG00000029299
9	44273188	44288615	-	Abcg4	ENSMUSG00000032131
17	84658234	84683011	-	Abcg5	ENSMUSG00000040505
17	84676302	84700333	+	Abcg8	ENSMUSG00000024254
16	45729725	45742955	-	Abhd10	ENSMUSG00000033157
5	135009152	135012175	+	Abhd11	ENSMUSG00000040532
5	135012114	135013253	-	Abhd11os	ENSMUSG00000085042
12	70154142	70183887	+	Abhd12b	ENSMUSG00000090121
2	150832493	150904741	-	Abhd12	ENSMUSG00000032046
8	9977707	9992155	+	Abhd13	ENSMUSG00000040396
9	106440051	106447678	-	Abhd14a	ENSMUSG00000042210
9	106447459	106452923	+	Abhd14b	ENSMUSG00000042073
11	77515121	77538607	+	Abhd15	ENSMUSG00000000686
17	35089263	35102987	+	Abhd16a	ENSMUSG00000007036
2	181493206	181494980	+	Abhd16b	ENSMUSG00000055882
10	80583654	80590341	-	Abhd17a	ENSMUSG00000003346
19	21653185	21685637	+	Abhd17b	ENSMUSG00000047368
7	84109356	84151893	-	Abhd17c	ENSMUSG00000038459
3	40846970	40938138	+	Abhd18	ENSMUSG00000037818
5	30950066	30955091	+	Abhd1	ENSMUSG00000006638
7	79273199	79365508	+	Abhd2	ENSMUSG00000039202
18	10642092	10706771	-	Abhd3	ENSMUSG00000002475
14	54254188	54270637	+	Abhd4	ENSMUSG00000040997
9	122351608	122381524	+	Abhd5	ENSMUSG00000032540
14	8002902	8056763	+	Abhd6	ENSMUSG00000025277
8	71456705	71463655	-	Abhd8	ENSMUSG00000007950
2	22940073	23040241	-	Abi1	ENSMUSG00000058835
1	60409619	60481158	+	Abi2	ENSMUSG00000026782
16	56477878	56690135	+	Abi3bp	ENSMUSG00000035258
11	95830074	95842476	-	Abi3	ENSMUSG00000018381
2	31688376	31804227	+	Abl1	ENSMUSG00000026842
1	156558786	156649568	+	Abl2	ENSMUSG00000026596
19	57032733	57314919	-	Ablim1	ENSMUSG00000025085
5	35757880	35884973	+	Ablim2	ENSMUSG00000029095
18	61799392	61911824	-	Ablim3	ENSMUSG00000032735
2	26842503	26864979	-	Abo	ENSMUSG00000015787
10	18011260	18023288	-	Abracl	ENSMUSG00000078453
15	41864076	41869720	-	Abra	ENSMUSG00000042895
5	100805192	100820965	-	Abraxas1	ENSMUSG00000035234
7	132859225	132885111	+	Abraxas2	ENSMUSG00000030965
11	76416734	76622314	-	Abr	ENSMUSG00000017631
13	23418361	23423866	-	Abt1	ENSMUSG00000036376
6	88835914	88841984	-	Abtb1	ENSMUSG00000030083
2	103566310	103718423	+	Abtb2	ENSMUSG00000032724
19	34710008	34711016	+	AC016791.1	ENSMUSG00000118098
19	34623682	34624607	+	AC016791.2	ENSMUSG00000118260
18	68432793	68433177	+	AC021063.1	ENSMUSG00000118288
19	8651799	8663335	-	AC025794.1	ENSMUSG00000117763
19	8776266	8776560	+	AC025794.2	ENSMUSG00000118261
17	56241716	56242805	+	AC026385.1	ENSMUSG00000117172
17	56238909	56239361	+	AC026385.2	ENSMUSG00000117176
17	50339252	50398475	+	AC060761.1	ENSMUSG00000117222
9	44877891	44884397	+	AC061963.1	ENSMUSG00000110773
17	56958320	56959424	+	AC073683.1	ENSMUSG00000117245
9	39084499	39095161	-	AC073947.1	ENSMUSG00000111781
17	70765839	70806059	-	AC079441.1	ENSMUSG00000117231
17	87949927	87950385	+	AC087233.1	ENSMUSG00000117455
17	87969004	87969220	-	AC087233.2	ENSMUSG00000117522
GL456350.1	26556	27953	-	AC087559.1	ENSMUSG00000079764
GL456350.1	173252	174286	-	AC087559.2	ENSMUSG00000079773
GL456350.1	23801	25222	-	AC087559.3	ENSMUSG00000094576
19	32974990	32980063	-	AC087871.1	ENSMUSG00000117664
17	12356482	12357608	+	AC087901.1	ENSMUSG00000117197
18	11624915	11625507	+	AC090479.1	ENSMUSG00000117535
18	11655420	11657784	-	AC090479.2	ENSMUSG00000117634
17	31688735	31690425	-	AC090881.1	ENSMUSG00000117656
17	31676789	31684374	-	AC090881.2	ENSMUSG00000117987
17	31643898	31644779	-	AC090881.3	ENSMUSG00000118161
18	55841665	55843018	+	AC091283.1	ENSMUSG00000118348
17	83950991	83952463	-	AC091309.1	ENSMUSG00000117421
17	83998554	84013408	+	AC091309.2	ENSMUSG00000117431
17	84036890	84038262	+	AC091309.3	ENSMUSG00000117432
17	83917937	83921606	+	AC091309.4	ENSMUSG00000117442
17	84020663	84026019	-	AC091309.5	ENSMUSG00000117446
17	83959868	83960930	-	AC091309.6	ENSMUSG00000117564
17	83956248	83957523	+	AC091309.7	ENSMUSG00000117611
17	79257410	79258049	-	AC091332.1	ENSMUSG00000117047
14	67673177	67675106	-	AC093020.1	ENSMUSG00000093726
17	86773270	86774648	+	AC096777.1	ENSMUSG00000117538
17	86684748	86685496	-	AC096777.2	ENSMUSG00000117568
18	40242774	40258495	-	AC098707.1	ENSMUSG00000117674
18	40181585	40184028	+	AC098707.2	ENSMUSG00000117838
19	59540451	59540978	+	AC098733.1	ENSMUSG00000118118
19	33853164	33872207	-	AC098875.1	ENSMUSG00000117821
17	22687720	22690460	+	AC098880.1	ENSMUSG00000117055
17	22713782	22716937	-	AC098880.2	ENSMUSG00000117183
18	45198823	45199096	+	AC099590.1	ENSMUSG00000118143
19	51631549	51632627	+	AC099591.1	ENSMUSG00000117806
18	42938552	43171274	-	AC099605.1	ENSMUSG00000117792
18	66417328	66417803	+	AC100212.1	ENSMUSG00000117665
18	66605733	66606420	-	AC100212.2	ENSMUSG00000117843
18	66491584	66491871	-	AC100212.3	ENSMUSG00000117884
18	66516996	66517352	-	AC100212.4	ENSMUSG00000117918
18	66549013	66549104	+	AC100212.5	ENSMUSG00000118148
18	66561615	66561931	-	AC100212.6	ENSMUSG00000118187
18	66418459	66418751	+	AC100212.7	ENSMUSG00000118218
18	66621429	66621633	-	AC100212.8	ENSMUSG00000118349
18	66504178	66511745	+	AC100212.9	ENSMUSG00000118376
19	19244035	19276348	-	AC100263.1	ENSMUSG00000117909
19	19276471	19319651	+	AC100263.2	ENSMUSG00000118109
17	77362353	77363210	-	AC100724.1	ENSMUSG00000117578
19	50705722	50713685	-	AC100726.1	ENSMUSG00000117758
18	11913131	11915903	+	AC100751.1	ENSMUSG00000117430
18	45714584	45715070	+	AC101593.1	ENSMUSG00000118037
19	51144749	51148034	+	AC101812.1	ENSMUSG00000118338
18	63713872	63714490	-	AC102040.1	ENSMUSG00000117795
18	12862429	12865286	+	AC102055.1	ENSMUSG00000117494
18	76617288	76632870	-	AC102081.1	ENSMUSG00000117960
18	59855122	59855452	+	AC102091.1	ENSMUSG00000117940
18	59897554	59898094	+	AC102091.2	ENSMUSG00000117999
18	64288135	64291820	+	AC102106.1	ENSMUSG00000118264
18	64428353	64428669	-	AC102106.2	ENSMUSG00000118375
19	34056140	34056475	-	AC102119.1	ENSMUSG00000118302
18	77280152	77298678	-	AC102124.1	ENSMUSG00000118108
18	63760332	63763217	-	AC102132.1	ENSMUSG00000117977
18	63898332	63899031	-	AC102132.2	ENSMUSG00000118258
18	77513440	77513633	+	AC102135.1	ENSMUSG00000117855
18	81434183	81457899	-	AC102151.1	ENSMUSG00000118227
18	64219935	64220522	-	AC102156.1	ENSMUSG00000118022
18	64136992	64137576	-	AC102156.2	ENSMUSG00000118189
18	64200215	64200527	-	AC102156.3	ENSMUSG00000118191
19	32543348	32563611	+	AC102159.1	ENSMUSG00000118168
18	57688646	57792360	-	AC102232.1	ENSMUSG00000118391
18	65418971	65419347	-	AC102240.1	ENSMUSG00000118285
18	66036827	66038283	+	AC102243.1	ENSMUSG00000117907
19	34549264	34549392	+	AC102249.1	ENSMUSG00000118048
18	81627846	81637747	-	AC102255.1	ENSMUSG00000117870
18	81642109	81648941	-	AC102255.2	ENSMUSG00000118172
18	81480357	81515768	+	AC102255.3	ENSMUSG00000118300
